,year,km_driven,seats,selling_price,mileage_no,engine_no,max_power_no,torque_nm,f_diesel,f_petrol,f_lpg,f_cng,seller_type_individual,seller_type_dealer,seller_type_trusted_dealer,owner_no,transmission_no
6518,2019,2560,5.0,520000,24.0,1199.0,83.81,114.0,0,1,0,0,1,0,0,1,2
6144,2013,80000,5.0,300000,19.4,1198.0,86.8,109.0,0,1,0,0,1,0,0,2,1
6381,2011,150000,5.0,380000,23.0,1396.0,90.0,219.66895999999997,1,0,0,0,1,0,0,4,1
438,2013,120000,5.0,530000,23.4,1248.0,74.0,190.0,1,0,0,0,1,0,0,2,1
5939,2017,25000,5.0,335000,23.95,998.0,67.05,90.0,0,1,0,0,1,0,0,1,1
5080,1999,80000,4.0,80000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,3,1
7718,2018,15000,6.0,400000,18.15,1198.0,82.0,115.0,0,1,0,0,1,0,0,1,1
4526,2016,60000,5.0,1000000,22.15,1498.0,108.6,250.0,1,0,0,0,1,0,0,1,2
7522,2017,50000,7.0,2175000,11.36,2755.0,171.5,360.0,1,0,0,0,1,0,0,1,2
2210,2018,40000,5.0,500000,18.9,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,1
7663,2014,100000,5.0,430000,15.04,1598.0,103.2,153.0,0,1,0,0,1,0,0,1,1
5231,2004,90000,5.0,135000,13.4,1794.0,125.0,157.887065,0,1,0,0,1,0,0,2,1
6252,2017,80000,5.0,860000,28.09,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
7362,2016,50856,5.0,802999,26.0,1498.0,98.6,200.0,1,0,0,0,0,1,0,1,1
1721,2018,69779,5.0,600000,22.0,1197.0,81.8,113.0,0,1,0,0,0,1,0,1,2
1739,2017,25000,5.0,509999,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,1,1
373,2015,110000,7.0,503000,14.1,2179.0,147.94,320.0,1,0,0,0,1,0,0,1,1
3000,2014,150000,5.0,409999,23.4,1248.0,74.0,190.0,1,0,0,0,1,0,0,3,1
5876,2015,100000,5.0,573000,25.2,1248.0,74.0,190.0,1,0,0,0,1,0,0,2,1
1978,2020,5500,5.0,2125000,26.8,1597.0,118.0,300.0,1,0,0,0,0,1,0,1,1
4810,2011,80000,5.0,240000,20.36,1197.0,78.9,111.8,0,1,0,0,1,0,0,1,1
4463,2017,120000,7.0,650000,16.5,1493.0,70.0,195.0,1,0,0,0,1,0,0,1,1
