year,km_driven,seats,selling_price,mileage_no,engine_no,max_power_no,torque_nm,f_diesel,f_petrol,f_lpg,f_cng,seller_type_individual,seller_type_dealer,seller_type_trusted_dealer,owner_no,transmission_no
2019,2560,5.0,520000,24.0,1199.0,83.81,114.0,0,1,0,0,1,0,0,1,2
2013,80000,5.0,300000,19.4,1198.0,86.8,109.0,0,1,0,0,1,0,0,2,1
2011,150000,5.0,380000,23.0,1396.0,90.0,219.66895999999997,1,0,0,0,1,0,0,4,1
2013,120000,5.0,530000,23.4,1248.0,74.0,190.0,1,0,0,0,1,0,0,2,1
2017,25000,5.0,335000,23.95,998.0,67.05,90.0,0,1,0,0,1,0,0,1,1
1999,80000,4.0,80000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,3,1
2018,15000,6.0,400000,18.15,1198.0,82.0,115.0,0,1,0,0,1,0,0,1,1
2016,60000,5.0,1000000,22.15,1498.0,108.6,250.0,1,0,0,0,1,0,0,1,2
2017,50000,7.0,2175000,11.36,2755.0,171.5,360.0,1,0,0,0,1,0,0,1,2
2018,40000,5.0,500000,18.9,1197.0,81.86,113.75,0,1,0,0,1,0,0,1,1
2014,100000,5.0,430000,15.04,1598.0,103.2,153.0,0,1,0,0,1,0,0,1,1
2004,90000,5.0,135000,13.4,1794.0,125.0,157.887065,0,1,0,0,1,0,0,2,1
2017,80000,5.0,860000,28.09,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2016,50856,5.0,802999,26.0,1498.0,98.6,200.0,1,0,0,0,0,1,0,1,1
2018,69779,5.0,600000,22.0,1197.0,81.8,113.0,0,1,0,0,0,1,0,1,2
2017,25000,5.0,509999,18.9,1197.0,82.0,114.0,0,1,0,0,1,0,0,1,1
2015,110000,7.0,503000,14.1,2179.0,147.94,320.0,1,0,0,0,1,0,0,1,1
2014,150000,5.0,409999,23.4,1248.0,74.0,190.0,1,0,0,0,1,0,0,3,1
2015,100000,5.0,573000,25.2,1248.0,74.0,190.0,1,0,0,0,1,0,0,2,1
2020,5500,5.0,2125000,26.8,1597.0,118.0,300.0,1,0,0,0,0,1,0,1,1
2011,80000,5.0,240000,20.36,1197.0,78.9,111.8,0,1,0,0,1,0,0,1,1
2017,120000,7.0,650000,16.5,1493.0,70.0,195.0,1,0,0,0,1,0,0,1,1
2015,80000,5.0,425000,23.0,1248.0,88.7,200.0,1,0,0,0,1,0,0,1,1
2011,17000,5.0,300000,16.47,1198.0,73.9,110.0,0,1,0,0,1,0,0,1,1
2019,4000,5.0,399000,20.3,1086.0,68.0,99.0,0,1,0,0,1,0,0,1,1
2016,55000,6.0,450000,25.32,1198.0,77.0,190.0,1,0,0,0,1,0,0,2,1
2016,80000,5.0,750000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,1,1
2012,70000,5.0,221000,18.9,998.0,67.1,90.0,0,1,0,0,1,0,0,1,1
2019,10000,5.0,459999,23.84,1199.0,84.0,114.0,0,1,0,0,1,0,0,1,1
2009,180000,5.0,330000,13.6,1991.0,142.0,323.61945,1,0,0,0,1,0,0,1,1
2018,120000,7.0,850000,17.0,2650.0,80.84,230.0,1,0,0,0,1,0,0,2,1
2013,29000,5.0,409999,15.0,1598.0,103.5,153.0,0,1,0,0,1,0,0,2,1
2013,60000,7.0,500000,16.02,1373.0,93.7,130.0,0,1,0,0,1,0,0,1,1
2019,7500,5.0,5400000,16.78,1995.0,190.0,400.0,1,0,0,0,0,1,0,1,2
2014,70000,5.0,500000,15.04,1598.0,103.2,153.0,0,1,0,0,1,0,0,2,1
2019,7032,5.0,779000,19.0,1199.0,88.76,110.0,0,1,0,0,0,0,1,1,2
2010,20000,5.0,165000,19.7,796.0,46.3,62.0,0,1,0,0,1,0,0,1,1
2013,47000,5.0,250000,20.3,1248.0,75.0,197.0,1,0,0,0,1,0,0,1,1
2018,60000,7.0,900000,15.4,2523.0,75.0,200.0,1,0,0,0,1,0,0,1,1
2010,80000,5.0,220000,19.3,1248.0,73.9,190.0,1,0,0,0,1,0,0,4,1
2008,60000,5.0,285000,15.3,1596.0,99.6,146.0,0,1,0,0,1,0,0,2,1
2015,97000,5.0,430000,25.8,1498.0,98.6,200.0,1,0,0,0,1,0,0,2,1
2017,45000,5.0,3200000,19.33,1999.0,177.0,430.0,1,0,0,0,0,1,0,1,2
2017,56290,5.0,450000,24.0,1186.0,73.97,190.24,1,0,0,0,0,1,0,1,1
2013,120000,9.0,440000,15.96,2523.0,62.1,195.0,1,0,0,0,1,0,0,1,1
2012,145000,8.0,600000,12.99,2494.0,100.0,200.0,1,0,0,0,1,0,0,2,1
2018,10000,5.0,340000,25.17,799.0,53.3,72.0,0,1,0,0,1,0,0,1,1
2018,29000,5.0,520000,24.0,1186.0,73.97,190.24,1,0,0,0,1,0,0,1,1
2010,55000,5.0,180000,19.81,1086.0,68.05,99.04,0,1,0,0,1,0,0,2,1
2012,120000,8.0,750000,12.8,2494.0,102.0,200.05565999999996,1,0,0,0,1,0,0,1,1
2019,22000,5.0,1450000,16.0,1368.0,160.0,250.0,0,1,0,0,0,1,0,1,2
2015,53000,5.0,450000,24.0,1120.0,70.0,160.0,1,0,0,0,1,0,0,1,1
2019,24000,5.0,802999,28.4,1248.0,74.02,190.0,1,0,0,0,1,0,0,1,1
2016,100000,5.0,765000,24.3,1248.0,88.5,200.0,1,0,0,0,1,0,0,2,1
2010,70000,5.0,145000,20.92,998.0,67.1,90.0,0,1,0,0,1,0,0,2,1
2017,50000,5.0,550000,21.66,1498.0,108.62,250.0,1,0,0,0,1,0,0,1,1
2015,80000,5.0,300000,19.49,1198.0,67.04,104.0,0,1,0,0,1,0,0,1,1
1997,110000,4.0,50000,16.1,796.0,37.0,59.0,0,1,0,0,1,0,0,2,1
2019,32000,7.0,1700000,15.1,2179.0,155.0,360.0,1,0,0,0,1,0,0,1,1
2013,40000,5.0,290000,21.1,814.0,55.2,74.5,0,1,0,0,1,0,0,2,1
2017,45000,5.0,3200000,19.33,1999.0,177.0,430.0,1,0,0,0,0,1,0,1,2
